bus,t,LMP
611,1,5.0
611,2,5.0
611,3,5.0
611,4,5.0
611,5,5.0
611,6,5.0
611,7,5.0
611,8,5.0
611,9,5.0
611,10,5.0
611,11,5.0
611,12,5.0
611,13,5.0
611,14,5.0
611,15,5.0
611,16,5.0
611,17,5.0
611,18,5.0
611,19,5.0
611,20,5.0
611,21,5.0
611,22,5.0
611,23,5.0
611,24,5.0
632,1,0.0
632,2,0.0
632,3,0.0
632,4,0.0
632,5,0.0
632,6,0.0
632,7,0.0
632,8,0.0
632,9,0.0
632,10,0.0
632,11,0.0
632,12,0.0
632,13,0.0
632,14,0.0
632,15,0.0
632,16,0.0
632,17,0.0
632,18,0.0
632,19,0.0
632,20,0.0
632,21,0.0
632,22,0.0
632,23,0.0
632,24,0.0
633,1,0.0
633,2,0.0
633,3,0.0
633,4,0.0
633,5,0.0
633,6,0.0
633,7,0.0
633,8,0.0
633,9,0.0
633,10,0.0
633,11,0.0
633,12,0.0
633,13,0.0
633,14,0.0
633,15,0.0
633,16,0.0
633,17,0.0
633,18,0.0
633,19,0.0
633,20,0.0
633,21,0.0
633,22,0.0
633,23,0.0
633,24,0.0
634,1,5.0
634,2,5.0
634,3,5.0
634,4,5.0
634,5,5.0
634,6,5.0
634,7,5.0
634,8,5.0
634,9,5.0
634,10,5.0
634,11,5.0
634,12,5.0
634,13,5.0
634,14,5.0
634,15,5.0
634,16,5.0
634,17,5.0
634,18,5.0
634,19,5.0
634,20,5.0
634,21,5.0
634,22,5.0
634,23,5.0
634,24,5.0
645,1,20.0
645,2,20.0
645,3,20.0
645,4,20.0
645,5,20.0
645,6,20.0
645,7,20.0
645,8,20.0
645,9,20.0
645,10,20.0
645,11,20.0
645,12,20.0
645,13,20.0
645,14,20.0
645,15,20.0
645,16,20.0
645,17,20.0
645,18,20.0
645,19,20.0
645,20,20.0
645,21,20.0
645,22,20.0
645,23,20.0
645,24,20.0
646,1,10.0
646,2,10.0
646,3,10.0
646,4,10.0
646,5,10.0
646,6,10.0
646,7,10.0
646,8,10.0
646,9,10.0
646,10,10.0
646,11,10.0
646,12,10.0
646,13,10.0
646,14,10.0
646,15,10.0
646,16,10.0
646,17,10.0
646,18,10.0
646,19,10.0
646,20,10.0
646,21,10.0
646,22,10.0
646,23,10.0
646,24,10.0
650,1,0.0
650,2,0.0
650,3,0.0
650,4,0.0
650,5,0.0
650,6,0.0
650,7,0.0
650,8,0.0
650,9,0.0
650,10,0.0
650,11,0.0
650,12,0.0
650,13,0.0
650,14,0.0
650,15,0.0
650,16,0.0
650,17,0.0
650,18,0.0
650,19,0.0
650,20,0.0
650,21,0.0
650,22,0.0
650,23,0.0
650,24,0.0
670,1,5.0
670,2,5.0
670,3,5.0
670,4,5.0
670,5,5.0
670,6,5.0
670,7,5.0
670,8,5.0
670,9,5.0
670,10,5.0
670,11,5.0
670,12,5.0
670,13,5.0
670,14,5.0
670,15,5.0
670,16,5.0
670,17,5.0
670,18,5.0
670,19,5.0
670,20,5.0
670,21,5.0
670,22,5.0
670,23,5.0
670,24,5.0
671,1,5.0
671,2,5.0
671,3,5.0
671,4,5.0
671,5,5.0
671,6,5.0
671,7,5.0
671,8,5.0
671,9,5.0
671,10,5.0
671,11,5.0
671,12,5.0
671,13,5.0
671,14,5.0
671,15,5.0
671,16,5.0
671,17,5.0
671,18,5.0
671,19,5.0
671,20,5.0
671,21,5.0
671,22,5.0
671,23,5.0
671,24,5.0
675,1,10.0
675,2,10.0
675,3,10.0
675,4,10.0
675,5,10.0
675,6,10.0
675,7,10.0
675,8,10.0
675,9,10.0
675,10,10.0
675,11,10.0
675,12,10.0
675,13,10.0
675,14,10.0
675,15,10.0
675,16,10.0
675,17,10.0
675,18,10.0
675,19,10.0
675,20,10.0
675,21,10.0
675,22,10.0
675,23,10.0
675,24,10.0
684,1,5.0
684,2,5.0
684,3,5.0
684,4,5.0
684,5,5.0
684,6,5.0
684,7,5.0
684,8,5.0
684,9,5.0
684,10,5.0
684,11,5.0
684,12,5.0
684,13,5.0
684,14,5.0
684,15,5.0
684,16,5.0
684,17,5.0
684,18,5.0
684,19,5.0
684,20,5.0
684,21,5.0
684,22,5.0
684,23,5.0
684,24,5.0
692,1,20.0
692,2,20.0
692,3,20.0
692,4,20.0
692,5,20.0
692,6,20.0
692,7,20.0
692,8,20.0
692,9,20.0
692,10,20.0
692,11,20.0
692,12,20.0
692,13,20.0
692,14,20.0
692,15,20.0
692,16,20.0
692,17,20.0
692,18,20.0
692,19,20.0
692,20,20.0
692,21,20.0
692,22,20.0
692,23,20.0
692,24,20.0
