PVgen,interval,P_pv
PV_02,1,0.0
PV_02,2,0.0
PV_02,3,10.75
PV_02,4,10.75
PV_02,5,10.75
PV_02,6,0.0
PV_02,7,0.0
PV_02,8,0.0
PV_02,9,0.0
PV_02,10,10.75
PV_02,11,10.75
PV_02,12,10.75
PV_02,13,0.0
PV_02,14,10.75
PV_02,15,0.0
PV_02,16,0.0
PV_02,17,0.0
PV_02,18,0.0
PV_02,19,10.75
PV_02,20,10.75
PV_02,21,10.75
PV_02,22,10.75
PV_02,23,0.0
PV_02,24,0.0
PV_03,1,0.0
PV_03,2,0.0
PV_03,3,10.069999999999999
PV_03,4,10.069999999999999
PV_03,5,10.069999999999999
PV_03,6,0.0
PV_03,7,10.069999999999999
PV_03,8,0.0
PV_03,9,0.0
PV_03,10,0.0
PV_03,11,0.0
PV_03,12,0.0
PV_03,13,0.0
PV_03,14,0.0
PV_03,15,10.069999999999999
PV_03,16,0.0
PV_03,17,10.069999999999999
PV_03,18,0.0
PV_03,19,0.0
PV_03,20,0.0
PV_03,21,10.069999999999999
PV_03,22,0.0
PV_03,23,0.0
PV_03,24,0.0
PV_01,1,0.0
PV_01,2,0.0
PV_01,3,9.89
PV_01,4,9.89
PV_01,5,9.89
PV_01,6,0.0
PV_01,7,9.89
PV_01,8,9.89
PV_01,9,0.0
PV_01,10,9.89
PV_01,11,0.0
PV_01,12,9.89
PV_01,13,9.89
PV_01,14,0.0
PV_01,15,9.89
PV_01,16,0.0
PV_01,17,9.89
PV_01,18,0.0
PV_01,19,0.0
PV_01,20,9.89
PV_01,21,0.0
PV_01,22,0.0
PV_01,23,0.0
PV_01,24,0.0
